"","State","Brewery_id","Beer_ID","City","IBU","ABV","Beer_Name","Brewery_Name","Type"
"1861"," OR",202,682,"Estacada",40,6.9,"Mjolnir Imperial IPA","Fearless Brewing Company","IPA"
"1866"," PA",302,891,"Danville",30,7.5,"Overbite IPA","Old Forge Brewing Company","IPA"
"1869"," PA",432,1307,"Slippery Rock",30,6,"Paleo IPA","North Country Brewing Company","IPA"
"1871"," PA",326,1758,"Croydon",30,6.6,"County Line IPA","Neshaminy Creek Brewing Company","IPA"
"1873"," PA",372,894,"Pottstown",90,8.4,"Odyssey Imperial IPA","Sly Fox Brewing Company","IPA"
"1885"," PA",372,24,"Pottstown",113,7,"113 IPA","Sly Fox Brewing Company","IPA"
"1897"," PA",164,2305,"Phoenixville",70,6,"Homefront IPA","Sly Fox Brewing Company","IPA"
"1904"," PA",44,2048,"Export",30,5,"Dayman IPA","Rivertowne Brewing Company","IPA"
"1905"," PA",44,1099,"Export",30,6.2,"Old Wylie's IPA","Rivertowne Brewing Company","IPA"
"1908"," PA",323,1603,"Meadville",85,7.3,"Good Vibes IPA","Voodoo Brewery","IPA"
"1909"," PA",165,1782,"Lansdale",30,6.3,"Kiss Off IPA","Round Guys Brewing","IPA"
"1914"," PA",299,1686,"York",75,6.5,"Irregardless IPA","Liquid Hero Brewery","IPA"
"1921"," PA",98,1509,"Hershey",85,7.5,"Perpetual IPA","Tröegs Brewing Company","IPA"
"1923"," PA",298,1833,"Pittsburgh",45,5.8,"Hop Farm IPA","Hop Farm Brewing Company","IPA"
"1942"," PA",357,1334,"Philadelphia",85,8.5,"Dreamin' Double IPA","Manayunk Brewing Company","IPA"
"1958"," PA",357,1624,"Philadelphia",30,5.5,"Manayunk IPA","Manayunk Brewing Company","IPA"
"1962"," RI",280,983,"Pawtucket",24,6,"Backyahd IPA","Foolproof Brewing Company","IPA"
"1969"," RI",102,2437,"Newport",75,6.5,"Newport Storm IPA","Coastal Extreme Brewing Company","IPA"
"1993"," SC",385,575,"Mt. Pleasant",65,6.8,"Westbrook IPA","Westbrook Brewing Company","IPA"
"2008"," SD",213,271,"Spearfish",35,6,"11th Hour IPA","Crow Peak Brewing Company","IPA"
"2013"," TN",520,632,"Chattanooga",55,6,"House Brand IPA","Big River Brewing Company","IPA"
"2037"," TX",128,943,"Dallas",70,7,"Deep Ellum IPA","Deep Ellum Brewing Company","IPA"
"2044"," TX",414,343,"Austin",33,6.2,"Fire Eagle IPA","Austin Beerworks","IPA"
"2048"," TX",288,1874,"Dallas",73,7.6,"El Chingon IPA","Four Corners Brewing Company","IPA"
"2064"," TX",119,1497,"Conroe",100,9.2,"Valkyrie Double IPA","Southern Star Brewing Company","IPA"
"2072"," TX",414,1409,"Austin",33,7,"Heavy Machinery IPA Series #1: Heavy Fist","Austin Beerworks","IPA"
"2101"," TX",464,1158,"Alpine",33,7.8,"La Frontera Premium IPA","Big Bend Brewing Company","IPA"
"2109"," TX",243,2038,"Austin",75,7,"Infamous IPA","Infamous Brewing Company","IPA"
"2112"," TX",126,666,"Houston",85,9.5,"Rodeo Clown Double IPA","Karbach Brewing Company","IPA"
"2143"," TX",128,2166,"Dallas",100,8.5,"Dream Crusher Double IPA","Deep Ellum Brewing Company","IPA"
"2146"," UT",160,1089,"Salt Lake City",82,7.3,"Hop Notch IPA (2013)","Uinta Brewing Company","IPA"
"2150"," UT",303,1682,"Salt Lake City",34,6,"Wasatch Ghostrider White IPA (2014)","Utah Brewers Cooperative","IPA"
"2151"," UT",303,1680,"Salt Lake City",75,9,"Squatters Hop Rising Double IPA (2014)","Utah Brewers Cooperative","IPA"
"2153"," UT",400,644,"Moab",34,4,"Johnny's American IPA","Moab Brewery","IPA"
"2157"," UT",160,1723,"Salt Lake City",83,7.3,"Hop Nosh IPA","Uinta Brewing Company","IPA"
"2164"," UT",160,1925,"Salt Lake City",42,4,"Trader Session IPA","Uinta Brewing Company","IPA"
"2165"," UT",303,1823,"Salt Lake City",34,6,"Wasatch Ghostrider White IPA","Utah Brewers Cooperative","IPA"
"2166"," UT",303,1825,"Salt Lake City",75,9,"Squatters Hop Rising Double IPA","Utah Brewers Cooperative","IPA"
"2172"," VA",456,1206,"Hardy",42,7,"Red Clay IPA","Sunken City Brewing Company","IPA"
"2180"," VA",237,1933,"Charlottesville",65,7,"Missile IPA","Champion Brewing Company","IPA"
"2185"," VA",431,1309,"Ashburn",65,6.2,"Face Plant IPA","Lost Rhino Brewing Company","IPA"
"2190"," VA",116,2407,"Norfolk",88,7,"Rule G IPA","Smartmouth Brewing Company","IPA"
"2191"," VA",307,1806,"Virginia Beach",108,8.8,"Hoptopus Double IPA","Beach Brewing Company","IPA"
"2201"," VA",274,1912,"Charlottesville",50,6,"40 Mile IPA","Three Notch'd Brewing Company","IPA"
"2203"," VA",345,1676,"Abingdon",135,5.9,"Troopers Alley IPA","Wolf Hills Brewing Company","IPA"
"2223"," VT",42,2582,"East Fairfield",30,5.5,"Mosaic Single Hop IPA","Lost Nation Brewing","IPA"
"2227"," VT",329,1749,"Burlington",45,4.6,"Just IPA","The Just Beer Project","IPA"
"2230"," VT",276,1908,"Middlebury",45,5.5,"Fresh Slice White IPA","Otter Creek Brewing","IPA"
"2236"," VT",269,1926,"Bridgewater Corners",42,5.9,"Long Trail IPA","Long Trail Brewing Company","IPA"
"2241"," WA",191,505,"Seattle",70,6.2,"Evolutionary IPA (2011)","Two Beers Brewing Company","IPA"
"2243"," WA",451,1227,"Pacific",38,6.3,"Hoppy Bitch IPA","Northwest Brewing Company","IPA"
"2248"," WA",354,1639,"Bellingham",38,7.7,"Aslan IPA","Aslan Brewing Company","IPA"
"2267"," WA",402,837,"Washougal",43,6.2,"Desolation IPA","Amnesia Brewing Company","IPA"
"2269"," WA",191,1659,"Seattle",70,6.2,"Evo IPA","Two Beers Brewing Company","IPA"
"2273"," WA",312,1795,"Woodinville",72,6.5,"Filthy Hoppin' IPA","Dirty Bucket Brewing Company","IPA"
"2276"," WA",291,1857,"Seattle",67,6.9,"Supergoose IPA","Hale's Ales","IPA"
"2277"," WA",461,1174,"Seattle",38,4,"77 Fremont Select Spring Session IPA","Fremont Brewing Company","IPA"
"2278"," WA",482,47,"Gig Harbor",82,8.4,"Ballz Deep Double IPA","7 Seas Brewing Company","IPA"
"2281"," WA",191,1173,"Seattle",70,6.2,"Evolutionary IPA (2012)","Two Beers Brewing Company","IPA"
"2283"," WA",171,1504,"White Salmon",80,6.2,"Country Boy IPA","Everybody's Brewing","IPA"
"2287"," WA",482,972,"Gig Harbor",75,5.9,"Rude Parrot IPA","7 Seas Brewing Company","IPA"
"2296"," WA",488,583,"Woodinville",44,6.5,"Long Hammer IPA","Redhook Brewery","IPA"
"2299"," WA",488,945,"Woodinville",44,6.5,"Long Hammer IPA","Redhook Brewery","IPA"
"2303"," WA",461,857,"Seattle",80,6.5,"Interurban IPA","Fremont Brewing Company","IPA"
"2305"," WA",510,762,"Tacoma",83,7.4,"Ace IPA","Wingman Brewers","IPA"
"2319"," WI",132,2150,"Stevens Point",64,6.3,"Beyond The Pale IPA","Stevens Point Brewery","IPA"
"2331"," WI",350,1652,"Green Bay",19,4.2,"White Cap White IPA","Hinterland Brewery","IPA"
"2333"," WI",229,2077,"Lake Geneva",50,7.2,"No Wake IPA","Geneva Lake Brewing Company","IPA"
"2345"," WI",147,2337,"Hayward",19,6,"Charlie's Rye IPA","Angry Minnow","IPA"
"2348"," WI",33,1254,"Stevens Point",19,6,"JP's Ould Sod Irish Red IPA","James Page Brewing Company","IPA"
"2368"," WI",193,2227,"Middleton",80,6.5,"Dark Voyage Black IPA (2013)","Capital Brewery","IPA"
"2379"," WI",193,1177,"Middleton",70,6.2,"Mutiny IPA","Capital Brewery","IPA"
"2391"," WI",193,1954,"Middleton",55,5.6,"Ghost Ship White IPA","Capital Brewery","IPA"
"2395"," WV",157,2313,"Lewisburg",71,6.7,"Mothman Black IPA","Greenbrier Valley Brewing Company","IPA"
"2409"," WY",458,1199,"Sheridan",75,7,"Indian Paintbrush IPA","The Black Tooth Brewing Company","IPA"
"2"," AK",103,2436,"Anchorage",46,5.1,"Amber Ale","King Street Brewing Company","Ales"
"3"," AK",494,920,"Anchorage",17,5.2,"Polar Pale Ale","Broken Tooth Brewing Company","Ales"
"6"," AK",459,348,"Soldotna",46,5.8,"Skilak Scottish Ale (2011)","Kenai River Brewing Company","Ales"
"9"," AK",224,587,"Anchorage",12,4.8,"Snowshoe White Ale","Midnight Sun Brewing Company","Ales"
"12"," AK",558,30,"Anchorage",46,4.9,"Urban Wilderness Pale Ale","Sleeping Lady Brewing Company","Ales"
"15"," AK",494,919,"Anchorage",46,4.8,"Chugach Session Ale","Broken Tooth Brewing Company","Ales"
"17"," AK",459,1193,"Soldotna",46,5.8,"Skilak Scottish Ale","Kenai River Brewing Company","Ales"
"18"," AK",224,586,"Anchorage",24,5,"Kodiak Brown Ale","Midnight Sun Brewing Company","Ales"
"20"," AK",494,921,"Anchorage",15,5,"Northern Lights Amber Ale","Broken Tooth Brewing Company","Ales"
"22"," AK",454,947,"Talkeetna",71,6.5,"Twister Creek India Pale Ale","Denali Brewing Company","Ales"
"23"," AK",454,1159,"Talkeetna",46,5.6,"Mother Ale","Denali Brewing Company","Ales"
"25"," AK",103,1665,"Anchorage",46,4.9,"King Street Blonde Ale","King Street Brewing Company","Ales"
"27"," AL",287,1875,"Gadsden",43,6,"Naked Pig Pale Ale","Back Forty Beer Company","Ales"
"29"," AL",287,1876,"Gadsden",43,6,"Truck Stop Honey Brown Ale","Back Forty Beer Company","Ales"
"30"," AL",479,308,"Birmingham",36,5.8,"Good People American Brown Ale","Good People Brewing Company","Ales"
"33"," AL",479,1000,"Birmingham",36,5.6,"Good People Pale Ale","Good People Brewing Company","Ales"
"38"," AR",260,1961,"Rogers",39,4,"Ozark American Pale Ale","Ozark Beer Company","Ales"
"42"," AZ",31,839,"Chandler",20.5,8.1,"Rail Slide Imperial Spiced Ale","SanTan Brewing Company","Ales"
"46"," AZ",31,850,"Chandler",45,5.5,"Devil’s Ale","SanTan Brewing Company","Ales"
"47"," AZ",31,124,"Chandler",20,5.5,"Epicenter Amber Ale (2010)","SanTan Brewing Company","Ales"
"54"," AZ",161,1585,"Tempe",9,4.2,"Four Peaks Peach Ale","Four Peaks Brewing Company","Ales"
"59"," AZ",550,327,"Flagstaff",20.5,5,"Wapiti Amber Ale","Mogollon Brewing Company","Ales"
"61"," AZ",31,1073,"Chandler",20,5.5,"Epicenter Amber Ale","SanTan Brewing Company","Ales"
"66"," AZ",161,1635,"Tempe",21,6,"Kilt Lifter Scottish-Style Ale","Four Peaks Brewing Company","Ales"
"69"," AZ",31,764,"Chandler",45,5.5,"American Idiot Ale (2012)","SanTan Brewing Company","Ales"
"71"," AZ",161,179,"Tempe",21,6,"Kilt Lifter Scottish-Style Ale (2009)","Four Peaks Brewing Company","Ales"
"73"," AZ",31,285,"Chandler",45,5.5,"Devil’s Ale (2010)","SanTan Brewing Company","Ales"
"77"," AZ",159,125,"Flagstaff",20.5,5.8,"Lumberyard Red Ale","Lumberyard Brewing Company","Ales"
"78"," AZ",537,143,"Williams",20.5,5.4,"Grand Canyon Sunset Amber Ale","Grand Canyon Brewing Company","Ales"
"79"," AZ",508,132,"Lake Havasu City",20.5,8.5,"Full Moon Belgian White Ale (2007)","Mudshark Brewing Company","Ales"
"83"," AZ",31,1934,"Chandler",15,5,"SunSpot Golden Ale","SanTan Brewing Company","Ales"
"84"," AZ",508,768,"Lake Havasu City",20.5,8.5,"Full Moon Belgian White Ale","Mudshark Brewing Company","Ales"
"86"," AZ",537,142,"Williams",20.5,5.5,"Black Iron India Pale Ale","Grand Canyon Brewing Company","Ales"
"87"," AZ",549,64,"Prescott",20.5,5.5,"Liquid Amber Ale","Prescott Brewing Company","Ales"
"92"," CA",289,1868,"San Diego",15,5,"Saint Archer White Ale","Saint Archer Brewery","Ales"
"94"," CA",515,717,"San Diego",42,5.8,"Monkey Paw Oatmeal Pale Ale","Monkey Paw Pub & Brewery","Ales"
"97"," CA",289,1865,"San Diego",40,5.2,"Saint Archer Pale Ale","Saint Archer Brewery","Ales"
"98"," CA",84,1905,"Chico",37,5.6,"Sierra Nevada Pale Ale","Sierra Nevada Brewing Company","Ales"
"101"," CA",172,76,"Boonville",28,5.5,"Poleeko Gold Pale Ale (2009)","Anderson Valley Brewing Company","Ales"
"103"," CA",523,543,"Santa Cruz",42,6.8,"Bacon Brown Ale","Uncommon Brewers","Ales"
"106"," CA",84,400,"Chico",37,5.6,"Sierra Nevada Pale Ale","Sierra Nevada Brewing Company","Ales"
"112"," CA",49,1957,"Paso Robles",42,4.7,"805 Blonde Ale","Firestone Walker Brewing Company","Ales"
"118"," CA",518,668,"Carlsbad",36,5.6,"Mucho Aloha Hawaiian Pale Ale","Butcher's Brewing","Ales"
"128"," CA",311,1437,"San Francisco",42,5,"Atom Splitter Pale Ale","Pine Street Brewery","Ales"
"131"," CA",334,1735,"Diamond Springs",42,5,"Sprocket Blonde Ale (2006)","David's Ale Works","Ales"
"132"," CA",334,1734,"Diamond Springs",42,5,"Sprocket Pale Ale (2006)","David's Ale Works","Ales"
"135"," CA",535,73,"Mammoth Lakes",42,4.5,"Real McCoy Amber Ale (Current)","Mammoth Brewing Company","Ales"
"153"," CA",172,78,"Boonville",15,5.8,"Boont Amber Ale (2011)","Anderson Valley Brewing Company","Ales"
"154"," CA",35,1400,"San Diego",75,7,"Big Eye India Pale Ale","Ballast Point Brewing Company","Ales"
"156"," CA",35,1401,"San Diego",23,5.2,"Ballast Point Pale Ale","Ballast Point Brewing Company","Ales"
"172"," CA",36,2592,"San Francisco",42,5.9,"Liberty Ale","Anchor Brewing Company","Ales"
"176"," CA",253,1683,"Santa Cruz",42,5.4,"Dread Brown Ale","Santa Cruz Mountain Brewing","Ales"
"181"," CA",113,1896,"Temecula",44,5.8,"Aftermath Pale Ale","Black Market Brewing Company","Ales"
"187"," CA",172,1326,"Boonville",15,5.8,"Boont Amber Ale","Anderson Valley Brewing Company","Ales"
"189"," CA",433,1302,"Santa Cruz",60,7.4,"Blur India Pale Ale","Seabright Brewery","Ales"
"193"," CA",449,1047,"Half Moon Bay",53,3.7,"Back in the Saddle Rye Pale Ale","Mavericks Beer Company","Ales"
"194"," CA",172,1818,"Boonville",42,4.2,"Keebarlin' Pale Ale","Anderson Valley Brewing Company","Ales"
"196"," CA",172,811,"Boonville",15,5.8,"Boont Amber Ale (2010)","Anderson Valley Brewing Company","Ales"
"197"," CA",492,647,"Belmont",12,7.4,"Full Boar Scotch Ale","Devil's Canyon Brewery","Ales"
"205"," CA",523,347,"Santa Cruz",42,6.4,"Golden State Ale","Uncommon Brewers","Ales"
"206"," CA",351,1649,"San Luis Obispo",15,5.1,"Chai Ale","Central Coast Brewing Company","Ales"
"244"," CA",99,1460,"San Diego",44,4.8,"El Conquistador Extra Pale Ale","Mission Brewery","Ales"
"248"," CA",371,1191,"Carlsbad",42,6.8,"Swami's India Pale Ale","Pizza Port Brewing Company","Ales"
"254"," CA",371,1457,"Carlsbad",42,4.9,"Chronic Ale","Pizza Port Brewing Company","Ales"
"256"," CA",492,731,"Belmont",42,5.8,"Kaleidoscope Collaboration 2012","Devil's Canyon Brewery","Ales"
"258"," CA",347,1671,"Santee",49,9.5,"Gillespie Brown Ale","Manzanita Brewing Company","Ales"
"259"," CA",398,882,"Sacramento",35,5.6,"1881 California Red Ale","Ruhstaller Beer Company","Ales"
"263"," CA",347,1670,"Santee",44,6.6,"Manzanita Pale Ale","Manzanita Brewing Company","Ales"
"269"," CA",347,1672,"Santee",25,6,"Riverwalk Blonde Ale","Manzanita Brewing Company","Ales"
"271"," CO",108,2422,"Eagle",72,6.6,"Firestarter India Pale Ale","Bonfire Brewing Company","Ales"
"276"," CO",418,808,"Boulder",35,5.7,"Hoopla Pale Ale","Boulder Beer Company","Ales"
"278"," CO",514,735,"Colorado Springs",40,5.2,"On-On Ale (2008)","Arctic Craft Brewery","Ales"
"282"," CO",38,106,"Boulder",17,5.5,"Ellie’s Brown Ale","Avery Brewing Company","Ales"
"283"," CO",167,754,"Longmont",65,6.5,"Dale's Pale Ale (2010)","Oskar Blues Brewery","Ales"
"286"," CO",7,2649,"Denver",40,8.7,"Hibernation Ale","Great Divide Brewing Company","Ales"
"288"," CO",108,1183,"Eagle",45,5.3,"Kindler Pale Ale","Bonfire Brewing Company","Ales"
"289"," CO",420,1392,"Boulder",20,5.8,"Sanitas Saison Ale","Sanitas Brewing Company","Ales"
"294"," CO",7,2650,"Denver",40,5,"Denver Pale Ale (Artist Series No. 1)","Great Divide Brewing Company","Ales"
"295"," CO",167,720,"Longmont",40,9,"15th Anniversary Abbey Ale (2012)","Oskar Blues Brewery","Ales"
"297"," CO",108,1727,"Eagle",22,7.5,"Kilt Dropper Scotch Ale","Bonfire Brewing Company","Ales"
"2981"," CO",167,565,"Longmont",40,8,"Deviant Dale's IPA","Oskar Blues Brewery","Ales"
"300"," CO",64,356,"Edwards",25,5.2,"Crazy Mountain Amber Ale","Crazy Mountain Brewing Company","Ales"
"301"," CO",38,107,"Boulder",69,6.3,"Avery India Pale Ale","Avery Brewing Company","Ales"
"305"," CO",425,84,"Denver",40,5.2,"Rail Yard Ale (2009)","Wynkoop Brewing Company","Ales"
"307"," CO",105,2434,"Lone Tree",40,5.7,"Peach Pale Ale","Lone Tree Brewing Company","Ales"
"308"," CO",406,1454,"Boulder",20,5,"Parcae Belgian Style Pale Ale","Fate Brewing Company","Ales"
"310"," CO",108,1500,"Eagle",40,4.7,"Moe's Original Bar B Que 'Bama Brew Golden Ale","Bonfire Brewing Company","Ales"
"312"," CO",149,1431,"Arvada",40,5.1,"Ghost Rider Pale Ale (2013)","Odyssey Beerwerks","Ales"
"315"," CO",136,711,"Dillon",68,5.7,"Over the Rail Pale Ale","Pug Ryan's Brewery","Ales"
"320"," CO",167,755,"Longmont",65,6.5,"Dale's Pale Ale (2011)","Oskar Blues Brewery","Ales"
"321"," CO",442,696,"Fort Collins",22,4.5,"Old Town Ale","Pateros Creek Brewing Company","Ales"
"326"," CO",430,1322,"Boulder",45,7,"Green Bullet Organic India Pale Ale","Asher Brewing Company","Ales"
"328"," CO",64,613,"Edwards",40,6,"Mountain Livin' Pale Ale","Crazy Mountain Brewing Company","Ales"
"334"," CO",442,697,"Fort Collins",48,5.3,"Stimulator Pale Ale","Pateros Creek Brewing Company","Ales"
"336"," CO",392,83,"Denver",19,5.4,"Avalanche Ale","Breckenridge Brewery","Ales"
"338"," CO",149,1720,"Arvada",40,5.1,"Ghose Drifter Pale Ale","Odyssey Beerwerks","Ales"
"339"," CO",167,1,"Longmont",65,6.5,"Dale's Pale Ale","Oskar Blues Brewery","Ales"
"340"," CO",167,4,"Longmont",85,8.7,"Gordon Ale (2009)","Oskar Blues Brewery","Ales"
"341"," CO",265,70,"Durango",40,5.3,"True Blonde Ale","Ska Brewing Company","Ales"
"342"," CO",108,1360,"Eagle",38,4.8,"Screaming Eagle Special Ale ESB","Bonfire Brewing Company","Ales"
"345"," CO",425,145,"Denver",40,5.5,"Silverback Pale Ale","Wynkoop Brewing Company","Ales"
"346"," CO",83,748,"Fort Collins",18,5.2,"Fat Tire Amber Ale (2011)","New Belgium Brewing Company","Ales"
"347"," CO",108,997,"Eagle",40,5.8,"Awry Rye Pale Ale","Bonfire Brewing Company","Ales"
"348"," CO",504,744,"Lyons",65,6.5,"Dale's Pale Ale (2006)","Oskar Blues Brewery","Ales"
"349"," CO",108,996,"Eagle",40,5.8,"Demshitz Brown Ale","Bonfire Brewing Company","Ales"
"350"," CO",481,589,"Telluride",40,5.5,"Bridal Veil Rye Pale Ale","Telluride Brewing Company","Ales"
"352"," CO",108,1421,"Eagle",40,4.7,"Live Local Golden Ale","Bonfire Brewing Company","Ales"
"356"," CO",265,69,"Durango",40,6.1,"Euphoria Pale Ale","Ska Brewing Company","Ales"
"358"," CO",265,68,"Durango",58,5.7,"ESB Special Ale","Ska Brewing Company","Ales"
"359"," CO",167,828,"Longmont",65,6.5,"Dale's Pale Ale (2012)","Oskar Blues Brewery","Ales"
"364"," CO",481,973,"Telluride",40,5.7,"Face Down Brown Ale","Telluride Brewing Company","Ales"
"369"," CO",453,1218,"Edwards",40,5,"All American Red Ale","Centennial Beer Company","Ales"
"373"," CO",221,1422,"Broomfield",40,4.1,"West Portal Colorado Common Summer Ale","Big Choice Brewing","Ales"
"374"," CO",167,892,"Longmont",65,6.5,"Dale's Pale Ale (10 Year Anniversary)","Oskar Blues Brewery","Ales"
"378"," CO",83,71,"Fort Collins",18,5.2,"Fat Tire Amber Ale (2008)","New Belgium Brewing Company","Ales"
"379"," CO",406,1452,"Boulder",20,5,"Laimas Kölsch Style Ale","Fate Brewing Company","Ales"
"381"," CO",64,940,"Edwards",40,6.05,"Boohai Red Ale","Crazy Mountain Brewing Company","Ales"
"383"," CO",120,90,"Durango",65,6.5,"Third Eye Pale Ale","Steamworks Brewing Company","Ales"
"387"," CO",504,745,"Lyons",65,6.5,"Dale's Pale Ale (2008)","Oskar Blues Brewery","Ales"
"388"," CO",52,345,"Boulder",40,6.7,"Upslope Brown Ale","Upslope Brewing Company","Ales"
"389"," CO",504,743,"Lyons",65,6.5,"Dale's Pale Ale (2004)","Oskar Blues Brewery","Ales"
"394"," CO",532,448,"Dolores",40,6.05,"Dolores River Pale Ale","Dolores River Brewery","Ales"
"395"," CO",64,1163,"Edwards",40,6.05,"WinterWonderGrass Festival Ale","Crazy Mountain Brewing Company","Ales"
"396"," CO",453,1219,"Edwards",40,5,"All American Blonde Ale","Centennial Beer Company","Ales"
"402"," CO",52,80,"Boulder",40,5.8,"Upslope Pale Ale","Upslope Brewing Company","Ales"
"410"," CO",497,871,"Aurora",49,5.8,"Dry Dock Amber Ale","Dry Dock Brewing Company","Ales"
"411"," CO",83,1586,"Fort Collins",18,5.2,"Fat Tire Amber Ale","New Belgium Brewing Company","Ales"
"414"," CO",52,906,"Boulder",40,7.7,"Upslope Pumpkin Ale","Upslope Brewing Company","Ales"
"415"," CO",552,161,"Silverton",40,6,"Red Mountain Ale","Silverton Brewery","Ales"
"418"," CO",425,1045,"Denver",40,5.5,"Wynkoop Pumpkin Ale","Wynkoop Brewing Company","Ales"
"420"," CO",406,1451,"Boulder",70,7,"Moirai India Pale Ale","Fate Brewing Company","Ales"
"424"," CO",108,1548,"Eagle",40,4.7,"Slow & Steady Golden Ale","Bonfire Brewing Company","Ales"
"431"," CO",83,563,"Fort Collins",18,5.2,"Fat Tire Amber Ale","New Belgium Brewing Company","Ales"
"433"," CO",111,1005,"Denver",25,5,"5:00 O'Clock Afternoon Ale","Renegade Brewing Company","Ales"
"434"," CO",167,955,"Longmont",65,6.5,"Dale's Pale Ale","Oskar Blues Brewery","Ales"
"436"," CO",387,220,"Paonia",40,6.2,"Colorado Red Ale","Revolution Brewing","Ales"
"443"," CO",167,1252,"Longmont",65,6.5,"Dale's Pale Ale","Oskar Blues Brewery","Ales"
"444"," CO",370,1014,"Buena Vista",40,5,"Pumpkin Patch Ale (2012)","Eddyline Brewery & Restaurant","Ales"
"451"," CO",425,807,"Denver",40,5.2,"Rail Yard Ale","Wynkoop Brewing Company","Ales"
"454"," CO",167,1883,"Longmont",40,5.2,"Centennial State Pale Ale","Oskar Blues Brewery","Ales"
"457"," CO",52,79,"Boulder",40,7.2,"Upslope India Pale Ale","Upslope Brewing Company","Ales"
"458"," CO",504,742,"Lyons",65,6.5,"Dale's Pale Ale (2003)","Oskar Blues Brewery","Ales"
"463"," CO",532,449,"Dolores",40,6.05,"Snaggletooth Double Pale Ale","Dolores River Brewery","Ales"
"464"," CO",108,1549,"Eagle",94,7,"Farmer Wirtz India Pale Ale","Bonfire Brewing Company","Ales"
"465"," CO",295,1847,"Denver",44,6.6,"Colorado Red Ale","Black Shirt Brewing Company","Ales"
"466"," CO",120,2386,"Durango",65,6.5,"Third Eye Enlightened Pale Ale","Steamworks Brewing Company","Ales"
"469"," CO",552,160,"Silverton",40,6.8,"Ice Pick Ale","Silverton Brewery","Ales"
"471"," CO",111,1006,"Denver",100,9.9,"Elevation Triple India Pale Ale","Renegade Brewing Company","Ales"
"473"," CO",392,397,"Denver",15,4.5,"SummerBright Ale","Breckenridge Brewery","Ales"
"477"," CO",524,596,"Aspen",67,7,"Independence Pass Ale","Aspen Brewing Company","Ales"
"478"," CO",108,633,"Eagle",72,6.6,"Firestarter India Pale Ale","Bonfire Brewing Company","Ales"
"484"," CO",52,2561,"Boulder",40,7.6,"Lee Hill Series Vol. 1 - Barrel Aged Brown Ale","Upslope Brewing Company","Ales"
"488"," CO",356,1636,"Monument",40,5.6,"Local 5 Pale Ale","Pikes Peak Brewing Company","Ales"
"490"," CO",356,1518,"Monument",40,7.3,"Devils Head Red Ale","Pikes Peak Brewing Company","Ales"
"492"," CO",504,741,"Lyons",65,6.5,"Dale's Pale Ale (2002)","Oskar Blues Brewery","Ales"
"496"," CO",460,1179,"Denver",40,5,"River North Ale","River North Brewery","Ales"
"498"," CO",167,1444,"Longmont",65,6.5,"Dale's Pale Ale","Oskar Blues Brewery","Ales"
"501"," CO",425,1316,"Denver",40,8.2,"Colorojo Imperial Red Ale","Wynkoop Brewing Company","Ales"
"504"," CO",52,683,"Boulder",30,7.5,"Upslope Belgian Style Pale Ale","Upslope Brewing Company","Ales"
"509"," CO",52,2564,"Boulder",40,10.4,"Lee Hill Series Vol. 4 - Manhattan Style Rye Ale","Upslope Brewing Company","Ales"
"512"," CO",516,716,"Greeley",40,4.8,"Trigger Blonde Ale","Crabtree Brewing Company","Ales"
"514"," CO",370,1110,"Buena Vista",40,6,"River Runners Pale Ale","Eddyline Brewery & Restaurant","Ales"
"516"," CO",52,1315,"Boulder",90,9.9,"Upslope Imperial India Pale Ale","Upslope Brewing Company","Ales"
"517"," CO",295,1850,"Denver",83,7.1,"American India Red Ale","Black Shirt Brewing Company","Ales"
"518"," CO",52,907,"Boulder",40,8.2,"Upslope Christmas Ale","Upslope Brewing Company","Ales"
"520"," CO",473,1057,"Boulder",31,6,"South Ridge Amber Ale","Crystal Springs Brewing Company","Ales"
"521"," CO",370,1590,"Buena Vista",40,5,"Pumpkin Patch Ale","Eddyline Brewery & Restaurant","Ales"
"523"," CO",460,1180,"Denver",40,5,"River North White Ale","River North Brewery","Ales"
"531"," CO",52,1853,"Boulder",30,7.5,"Ferus Fluxus Wild Belgian Pale Ale","Upslope Brewing Company","Ales"
"533"," CO",52,2565,"Boulder",40,12.8,"Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale","Upslope Brewing Company","Ales"
"535"," CO",473,681,"Boulder",23,5.2,"Summertime Ale","Crystal Springs Brewing Company","Ales"
"537"," CT",109,2421,"Bloomfield",11,5.1,"Watermelon Ale","Thomas Hooker Brewing Company","Ales"
"540"," CT",411,40,"Woodbridge",29,5,"Atlantic Amber Ale (2007)","New England Brewing Company","Ales"
"548"," CT",411,757,"Woodbridge",29,5,"Atlantic Amber Ale (2004)","New England Brewing Company","Ales"
"550"," CT",249,1361,"Stamford",18,5.2,"Half Full Bright Ale","Half Full Brewery","Ales"
"552"," CT",236,1426,"Bloomfield",29,4.9,"Back East Golden Ale","Back East Brewing Company","Ales"
"553"," CT",236,1131,"Bloomfield",29,5,"Back East Ale","Back East Brewing Company","Ales"
"560"," CT",90,2456,"East Windsor",29,6.1,"Broad Brook Ale","Broad Brook Brewing LLC","Ales"
"571"," DE",540,433,"Greenville",52,5.5,"Greenville Pale Ale","Twin Lakes Brewing Company","Ales"
"572"," DE",317,1784,"Wilmington",52,5.5,"Appreciation Ale","Iron Hill Brewery & Restaurant","Ales"
